Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,86.06,-112.255,-90.0,top
C10,22uF,C_1206_3216Metric,81.21,-87.44,0.0,top
C11,10uF,C_1206_3216Metric,74.855,-60.0,180.0,top
C12,100nF,C_0603_1608Metric,78.95,-59.56,0.0,top
C13,47uF,CP_Elec_6.3x5.7,76.87,-54.94,0.0,top
C14,100nF,C_0603_1608Metric,66.045,-86.335216,180.0,top
C15,100nF,C_0603_1608Metric,66.275,-84.375,180.0,top
C16,100nF,C_0603_1608Metric,79.06,-65.08,180.0,top
C17,22nF,C_0603_1608Metric,63.52,-89.555216,-90.0,top
C18,22uF,C_0805_2012Metric,69.15,-88.75,-90.0,top
C19,10uF,C_0805_2012Metric,60.32,-52.73,180.0,top
C2,1uF,C_0603_1608Metric,85.38,-105.27,90.0,top
C20,10nF,C_0402_1005Metric,82.95,-112.825,-90.0,top
C21,100nF,C_0603_1608Metric,84.36,-112.255,-90.0,top
C22,22uF,C_1206_3216Metric,81.2,-84.62,0.0,top
C23,100nF,C_0603_1608Metric,83.68,-56.08,90.0,top
C24,10uF,C_0805_2012Metric,85.69,-56.29,90.0,top
C25,10uF,C_0805_2012Metric,67.2,-73.675,90.0,top
C26,100nF,C_0603_1608Metric,69.3,-73.85,90.0,top
C27,10uF,C_0805_2012Metric,71.0,-81.175,-90.0,top
C28,100nF,C_0603_1608Metric,68.95,-80.975,-90.0,top
C29,100nF,C_0603_1608Metric,64.475,-78.5,180.0,top
C3,10uF,C_0805_2012Metric,85.42,-108.88,90.0,top
C30,22uF,C_0805_2012Metric,66.25,-82.2,180.0,top
C31,22uF,C_0805_2012Metric,64.225,-74.475,0.0,top
C32,100nF,C_0603_1608Metric,66.45,-80.25,180.0,top
C4,10uF,C_0805_2012Metric,60.34,-55.07,180.0,top
C5,100nF,C_0603_1608Metric,77.605,-93.86,0.0,top
C6,2.2uF,C_0603_1608Metric,70.925,-59.475,-90.0,top
C7,22uF,C_0805_2012Metric,71.35,-73.6,90.0,top
C8,22uF,C_0805_2012Metric,69.125,-85.125,90.0,top
C9,10uF,C_1206_3216Metric,74.86,-62.68,180.0,top
D1,LED_Small,LED_0805_2012Metric,56.15125,-87.7,0.0,top
D10,D_TVS_Small,D_SOD-882,84.07,-96.68,90.0,top
D11,D_TVS_Small,D_SOD-882,84.63,-94.42,90.0,top
D2,D_TVS_Small,D_SOD-882,63.46,-72.41,0.0,top
D2_1,SMBJ28A,D_SMB,68.3,-64.125,0.0,top
D2_2,SMBJ14A,D_SMB,68.3,-69.05,0.0,top
D3,D_TVS_Small,D_SOD-882,84.07,-98.74,-90.0,top
D4,LED_Small,LED_0805_2012Metric,56.15125,-85.16,0.0,top
D5,LED_Small,LED_0805_2012Metric,56.15125,-82.43,0.0,top
D6,LED_Small,LED_0805_2012Metric,56.15125,-90.35,0.0,top
D7,LED_Small,LED_0805_2012Metric,56.15125,-92.99,0.0,top
D8,D_TVS_Small,D_SOD-882,52.75,-72.4,180.0,top
D9,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,56.17875,-95.59,0.0,top
J1,Conn_02x03_Odd_Even,Molex_Micro-Fit_3.0_43045-0618_2x03-1MP_P3.00mm_Vertical,57.775,-67.16,-90.0,top
J2,Conn_01x04,PinHeader_1x04_P1.00mm_Vertical,56.2,-101.6,180.0,top
J3,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,89.35,-97.23,270.0,top
L1,10uH,L_Chilisin_BMRF00101040,78.26,-72.86,-90.0,top
L2,2.2uH,IND_XGL6060_COC,74.43,-87.2717,90.0,top
Q1,IAUC120N06S5L011,INF-PG-TDSON-8-33-V,67.2525,-54.315,0.0,top
R1,100K,R_0402_1005Metric,86.365,-58.8,0.0,top
R10,82K,R_0402_1005Metric,64.965,-77.15,180.0,top
R11,1K,R_0402_1005Metric,59.2975,-87.7,180.0,top
R12,10K,R_0402_1005Metric,71.015,-77.225,0.0,top
R13,4.7K,R_0402_1005Metric,71.015,-78.375,180.0,top
R14,82K,R_0603_1608Metric,81.6,-61.685,-90.0,top
R15,100K,R_0402_1005Metric,81.37,-57.86,-90.0,top
R16,15K,R_0402_1005Metric,81.83,-59.505,180.0,top
R17,1K,R_0402_1005Metric,84.24,-60.0,180.0,top
R18,100K,R_0402_1005Metric,84.25,-61.275,180.0,top
R19,47K,R_0402_1005Metric,63.34,-87.32,180.0,top
R2,1K,R_0402_1005Metric,59.23625,-85.15,180.0,top
R20,220,R_0402_1005Metric,59.33125,-92.98,180.0,top
R21,1K,R_0402_1005Metric,59.225,-90.35,180.0,top
R22,10K,R_0402_1005Metric,63.25,-76.665,90.0,top
R23,15K,R_0402_1005Metric,63.34,-86.08,0.0,top
R3,5.1K,R_0402_1005Metric,89.055,-91.21,180.0,top
R4,5.1K,R_0402_1005Metric,89.035,-103.21,180.0,top
R5,4.7K,R_0402_1005Metric,59.28625,-82.45,180.0,top
R6,1K,R_0402_1005Metric,84.21,-58.8,180.0,top
R7,10K,R_0402_1005Metric,84.25,-62.475,0.0,top
R8,1K,R_0603_1608Metric,63.475,-81.025,90.0,top
R9,2K,R_0402_1005Metric,63.23,-83.62,90.0,top
SW1,SW_Push,SW_SPST_Omron_B3FS-100xP,89.05,-75.35,-90.0,top
SW2,SW_Push,SW_SPST_Omron_B3FS-100xP,89.075,-64.625,-90.0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,72.375,-104.54,180.0,top
U2,LM74610QDGKTQ1,SOP65P490X110-8N,65.95,-59.5,0.0,top
U3,LMR604205SRAKRQ1,RAK0009A-MFG,79.075001,-62.264999,0.0,top
U4,TPS62901RPJR,QFN_902RPJR_TEX,65.961637,-88.728908,-90.0,top
U5,BME280,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,84.195,-52.82,180.0,top
U6,TPS2121RUXR,IC_TPS2121RUXR,67.975,-77.775,90.0,top
