"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3";"Texas_VQFN-HR-12_2x2.5mm_P0.5mm";1;"TPS2121RUXR";;;
2;"U5";"Texas_DRB0008A";1;"TPS73501DRBR";;;
3;"U9";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
4;"D3,D6,D7,D4,D5,D8";"LED_0805_2012Metric";6;"LED_Small";;;
5;"R32,R33,R34,R38,R37,R17,R16";"R_0402_1005Metric";7;"1K";;;
6;"D9";"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B";1;"WS2812B";;;
7;"R35";"R_0402_1005Metric";1;"500";;;
8;"R31,R6,R29,R30";"R_0402_1005Metric";4;"4.7K";;;
9;"R36";"R_0402_1005Metric";1;"220";;;
10;"C34,C28,C17,C29,C2,C11,C35,C13,C40,C19,C14,C18,C42,C7,C8,C31,C37,C38,C30";"C_0603_1608Metric";19;"100nF";;;
11;"C12,C33,C41,C10";"C_0805_2012Metric";4;"10uF";;;
12;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
13;"R15,R14";"R_0402_1005Metric";2;"5.1K";;;
14;"L2";"IND_XGL4020_COC";1;"2.2uH";;;
15;"R25,R18,R3,R7,R5,R19";"R_0402_1005Metric";6;"10K";;;
16;"R9";"R_0402_1005Metric";1;"47K";;;
17;"Q2,Q3";"SOT-23";2;"S8050";;;
18;"C36";"C_0402_1005Metric";1;"10nF";;;
19;"C24,C23";"C_0603_1608Metric";2;"2.2u";;;
20;"C4,C1";"CP_Elec_6.3x7.7";2;"47uF";;;
21;"TP8,TP3,TP6,TP2,TP7,TP5,TP1,TP4";"TestPoint_THTPad_D3.0mm_Drill1.5mm";8;"TestPoint_Probe";;;
22;"C25";"C_0402_1005Metric";1;"10n";;;
23;"S1,S2";"SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2";2;"Tactile Button, 160gf";;;
24;"C9,C20,C21,C15,C16";"C_0805_2012Metric";5;"22uF";;;
25;"C27,C26";"C_1206_3216Metric";2;"22uF";;;
26;"C22";"C_0603_1608Metric";1;"22nF";;;
27;"R28,R24,R23,R22";"R_0603_1608Metric";4;"100K";;;
28;"Q1";"INF-PG-TDSON-8-33-V";1;"IAUC120N06S5L011";;;
29;"R20,R26";"R_0603_1608Metric";2;"68K";;;
30;"D1";"D_SMB";1;"SMBJ28A";;;
31;"C39";"C_0603_1608Metric";1;"1uF";;;
32;"R1,R11";"R_0402_1005Metric";2;"100K";;;
33;"L1";"L_Coilcraft_XAL6060-XXX";1;"10uH";;;
34;"U7,U6";"SOT-23-6";2;"USBLC6-2SC6";;;
35;"R10,R2";"R_0402_1005Metric";2;"15K";;;
36;"R21,R27";"R_0603_1608Metric";2;"220";;;
37;"R4";"R_0603_1608Metric";1;"82K";;;
38;"R13";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"10K";;;
39;"U10";"Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BME280";;;
40;"U4";"VQFNHR9_RYT_TEX";1;"TPS62901Q1";;;
41;"U8";"SOP-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
42;"J2";"Molex_Micro-Fit_3.0_43045-0618_2x03-1MP_P3.00mm_Vertical";1;"Conn_02x03_Odd_Even";;;
43;"U2";"RAK0009A-MFG";1;"LMR604205SRAKRQ1";;;
44;"C5,C6";"C_1206_3216Metric";2;"10uF";;;
45;"U1";"SOP65P490X110-8N";1;"LM74610QDGKTQ1";;;
46;"R8";"R_0402_1005Metric";1;"82K";;;
47;"D2";"D_SMB";1;"SMBJ14A";;;
48;"R12";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"22K";;;
49;"C3,C32";"C_0603_1608Metric";2;"2.2uF";;;
50;"DS1";"OLED-128O064D";1;"OLED-128O064D";;;
51;"C43";"C_0603_1608Metric";1;"4.7uF";;;
52;"R40,R39";"R_0603_1608Metric";2;"300K";;;
