"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10uF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A106MA8NRNC_C96446.pdf"
"C2","1","100pF","","","","PCM_JLCPCB:C_0402",""
"C3","1","22uF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A226MQ8NRNC_C59461.pdf"
"C4","1","2.2uF","","","","PCM_JLCPCB:C_1206","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL31B225KBHNNNE_C50254.pdf"
"C5","1","47uF","","","","LM74610:CAP_PC_10X12P7_NCH-M","PCX1H470MCL1GS"
"C6,C18","2","10uF","","","","PCM_JLCPCB:C_1206","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL31A106KBHNNNE_C13585.pdf"
"C7","1","220nF","","","","PCM_JLCPCB:C_0603",""
"C8","1","1uF","","","","PCM_JLCPCB:C_1206","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL31B105KBHNNNE_C1848.pdf"
"C9","1","220nF","","","","PCM_JLCPCB:C_1206","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-1206B224K500NT_C1857.pdf"
"C10,C11,C17","3","22uF","","","","PCM_JLCPCB:C_1206","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL31A226KAHNNNE_C12891.pdf"
"C12,C14,C15","3","100nF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf"
"C13","1","120uF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A106MA8NRNC_C96446.pdf"
"C16","1","47nF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10B473KB8NNNC_C1622.pdf"
"C19,C22,C23","3","100nF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf"
"C20","1","1uF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A105KB8NNNC_C15849.pdf"
"C21","1","10nF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603B103K500NT_C57112.pdf"
"D1,D2","2","ESD321DYAR","","","","PCM_JLCPCB:D_SOD-523","https://www.lcsc.com/datasheet/C20345394.pdf"
"D3","1","ESD441DPLR","","","","PCM_JLCPCB:D_SOD-123FL","https://www.ti.com.cn/cn/lit/ds/symlink/esd441.pdf"
"D4","1","ESD5Z5.0","","","","Diode_SMD:D_SOD-523","https://www.onsemi.com/pdf/datasheet/esd5z2.5t1-d.pdf"
"D6","1","Red","","","","PCM_JLCPCB:D_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_1810231112_Hubei-KENTO-Elec-KT-0603R_C2286.pdf"
"J1","1","Connector, USB-TYPE-C-16P","","","","PCM_JLCPCB:TYPE-C-SMD_HX-TYPE-C-16PIN","https://atta.szlcsc.com/upload/public/pdf/source/20220920/0EF8F885FCCEA71F60E9E85152155021.pdf"
"J2","1","Conn_01x03_Socket","","","","","~"
"J3","1","Conn_01x02_Socket","","","","","~"
"L1","1","2.2uH,3.15A","","","","Inductor_SMD:L_Coilcraft_1515SQ-68N","https://www.lcsc.com/datasheet/C19080.pdf"
"L2","1","2.2uH,50mA","","","","PCM_JLCPCB:L_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2302231101_FH--Guangdong-Fenghua-Advanced-Tech-CMI201209U2R2KT_C1043.pdf"
"Q1","1","C458246","","","","Package_TO_SOT_SMD:LFPAK56","https://www.lcsc.com/datasheet/C458246.pdf"
"R1,R2","2","5.1K","","","","PCM_JLCPCB:R_0603","~"
"R3,R15","2","3.3kΩ","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF3301T5E_C22978.pdf"
"R4,R5,R6,R7,R10,R11","6","100kΩ","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1003T5E_C25803.pdf"
"R8,R9","2","20kΩ","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010100_UNI-ROYAL-Uniroyal-Elec-0402WGF2002TCE_C25765.pdf"
